Name;Rank;Level;Class;Race;Sex;Last Online (Days);Main/Alt;Player Alts;Join Date;Promo Date;Rank History;Birthday;Public Note;Officer Note;Custom Note;Faction
Adamwarlöck;Imp;4;Warlock;Human;Male;82;;;09 May '26;09 May '26;Imp: 09 May '26;;;Joined: 09 May '26 ;;Alliance
Agroholic;Imp;60;Warrior;Night Elf;Female;0.46;Main;;09 Jun '26;09 Jun '26;Imp: 09 Jun '26;;Pbx BodyTypeOne BFF;Joined: 09 Jun '26 ;;Alliance
Akabow;Altling;60;Hunter;Night Elf;Female;50;Alt;Akaslam-WildGrowth,Akastab-WildGrowth,Bubbliie-WildGrowth,Shapíe-WildGrowth(main),Sorcerius-WildGrowth;20 Dec '25;20 Dec '25;Altling: 20 Dec '25,Imp: 20 Dec '25;;Shapie;Joined: 20 Dec '25;;Alliance
Akariana;Arch Fiendling;60;Priest;Night Elf;Female;0.5;Alt;Aneliana-WildGrowth,Askariana-WildGrowth,Astelia-WildGrowth,Ineffa-WildGrowth,Nelle-WildGrowth,Thelisia-WildGrowth,Vinelia-WildGrowth,Wiella-WildGrowth(main);02 Jan '26;05 Mar '26;Arch Fiendling: 05 Mar '26,Altling: 16 Jan '26,Imp: 02 Jan '26;;Wiella [Ench]/[Alc]300;Joined: 02 Jan '26;;Alliance
Akashaz;Imp;60;Warlock;Gnome;Female;11;;;19 Jul '26;19 Jul '26;Imp: 19 Jul '26;;wickedwayz;Joined: 19 Jul '26 ;;Alliance
Akaslam;Altling;60;Warrior;Gnome;Female;84;Alt;Akabow-WildGrowth,Akastab-WildGrowth,Bubbliie-WildGrowth,Shapíe-WildGrowth(main),Sorcerius-WildGrowth;08 Dec '25;15 Dec '25;Altling: 15 Dec '25,Imp: 08 Dec '25;;Shapie [BS]272/[Mine]116;Joined: 08 Dec '25;;Alliance
Akastab;Altling;60;Rogue;Gnome;Female;79;Alt;Akabow-WildGrowth,Akaslam-WildGrowth,Bubbliie-WildGrowth,Shapíe-WildGrowth(main),Sorcerius-WildGrowth;28 Nov '25;28 Nov '25;Altling: 28 Nov '25,Imp: 30 Nov '25;;Shapie [Herb]/[Mine]300;Joined: 28 Nov '25;;Alliance
Akumadona;Imp;34;Mage;Human;Female;2;;;27 May '26;27 May '26;Imp: 27 May '26;;New in sod - german/english;Joined: 27 May '26 ;;Alliance
Akánano;Imp;50;Druid;Night Elf;Male;35;;;19 Apr '26;19 Apr '26;Imp: 19 Apr '26;; [LW]251/[Skin]288;Joined: 19 Apr '26 ;;Alliance
Alan;Imp;60;Warlock;Gnome;Male;6;;;27 Jun '26;27 Jun '26;Imp: 27 Jun '26;;[Ench]/[Eng]300;Joined: 27 Jun '26 ;;Alliance
Alito;Altling;60;Priest;Human;Male;3;Alt;Lâ-WildGrowth,Parsegrise-WildGrowth,Ttbm-WildGrowth,Âl-WildGrowth(main);21 Nov '25;21 Nov '25;Altling: 21 Nov '25;;Al [TL]/[Ench]300;Joined: 21 Nov '25;;Alliance
Altjonson;Imp;18;Warrior;Human;Male;130;;;11 Mar '26;11 Mar '26;Imp: 11 Mar '26;;Main  [Mine]80/[BS]84;Joined: 11 Mar '26 ;;Alliance
Alurya;Altling;60;Warrior;Night Elf;Female;72;Alt;Gadhar-WildGrowth(main),Garvad-WildGrowth,Singrim-WildGrowth,Valixia-WildGrowth;08 Feb '26;16 Feb '26;Altling: 16 Feb '26,Imp: 08 Feb '26;;Gadhar [Eng]/[Alc]300;Joined: 08 Feb '26 ;;Alliance
Alvihunt;Altling;60;Hunter;Night Elf;Female;16;Alt;Alvipre-WildGrowth,Alvirou-WildGrowth,Alviwer-WildGrowth(main);30 Jun '26;13 Jul '26;Altling: 13 Jul '26,Imp: 30 Jun '26;;Alvi;Joined: 30 Jun '26 ;;Alliance
Alvipre;Altling;60;Priest;Dwarf;Male;15;Alt;Alvihunt-WildGrowth,Alvirou-WildGrowth,Alviwer-WildGrowth(main);16 May '26;16 May '26;Altling: 16 May '26,Imp: 15 May '26;;Alvi;Joined: 16 May '26 ;;Alliance
Alvirou;Altling;60;Rogue;Gnome;Female;0.58;Alt;Alvihunt-WildGrowth,Alvipre-WildGrowth,Alviwer-WildGrowth(main);06 Jun '26;04 Jul '26;Altling: 04 Jul '26,Imp: 06 Jun '26;;Alvi;Joined: 06 Jun '26 ;;Alliance
Alviwer;Fel Reaver;60;Warrior;Human;Female;0.67;Main;Alvihunt-WildGrowth,Alvipre-WildGrowth,Alvirou-WildGrowth;04 May '26;02 Jun '26;Fel Reaver: 02 Jun '26,Imp: 04 May '26;;main [Eng]270/[Herb]9;Joined: 04 May '26 ;;Alliance
Alynel;Fel Reaver;60;Druid;Night Elf;Female;0.5;Main;Avelira-WildGrowth,Hunzi-WildGrowth,Talany-WildGrowth,Zimgar-WildGrowth;20 Feb '26;29 Mar '26;Fel Reaver: 29 Mar '26,Imp: 20 Feb '26;;main Zi [LW]/[Ench]300;Joined: 20 Feb '26 ;;Alliance
Amicia;Altling;60;Druid;Night Elf;Female;2;Alt;Bunní-WildGrowth,Mistí-WildGrowth,Mousíe-WildGrowth,Vivisteria-WildGrowth,Víví-WildGrowth(main);11 Jun '26;11 Jun '26;Altling: 11 Jun '26,Imp: 11 Jun '26;;Lit lit layydeh [Alc]/[Herb]300;Joined: 11 Jun '26 ;;Alliance
Anaire;Altling;43;Priest;Human;Female;4;Alt;Anteg-WildGrowth,Loashi-WildGrowth(main),Plotka-WildGrowth;20 May '26;20 May '26;Altling: 20 May '26,Imp: 20 May '26;;Loashi;Joined: 20 May '26 ;;Alliance
Andreamerkel;Imp;60;Priest;Dwarf;Female;13;Main;;13 Jul '26;13 Jul '26;Imp: 13 Jul '26;;main [Ench]285/[TL]288;Joined: 13 Jul '26 ;;Alliance
Andydemo;Imp;60;Warlock;Gnome;Female;93;;;10 Apr '26;10 Apr '26;Imp: 10 Apr '26;; [Alc]/[Herb]1;Joined: 10 Apr '26 ;;Alliance
Aneliana;Altling;25;Rogue;Night Elf;Female;3;Alt;Akariana-WildGrowth,Askariana-WildGrowth,Astelia-WildGrowth,Ineffa-WildGrowth,Nelle-WildGrowth,Thelisia-WildGrowth,Vinelia-WildGrowth,Wiella-WildGrowth(main);19 Jun '26;20 Jun '26;Altling: 20 Jun '26,Imp: 19 Jun '26;;Wiella [Ench]44/[Eng]1;Joined: 19 Jun '26 ;;Alliance
Angebode;Altling;60;Priest;Human;Female;5;Alt;Auslag-WildGrowth,Bedem-WildGrowth,Beeowulf-WildGrowth,Brunhiilde-WildGrowth,Grimmnok-WildGrowth,Heahmòund-WildGrowth,Heahmùnd-WildGrowth,Impurrfect-WildGrowth,Laclau-WildGrowth(main),Shortcomings-WildGrowth,Shortcumming-WildGrowth;04 Dec '25;06 Dec '25;Altling: 06 Dec '25,Imp: 04 Dec '25;;Laclau [TL]/[Ench]300;Joined: 04 Dec '25;;Alliance
Annot;Altling;60;Priest;Human;Female;0.21;Alt;Barritt-WildGrowth,Ciannait-WildGrowth,Detract-WildGrowth,Lunett-WildGrowth,Nerrit-WildGrowth,Prudent-WildGrowth,Robbt-WildGrowth(main),Starlitt-WildGrowth,Truitt-WildGrowth;09 Dec '25;13 Dec '25;Altling: 13 Dec '25,Imp: 09 Dec '25;;Robbie of the Rond Table;Joined: 09 Dec '25;;Alliance
Antagoni;Imp;60;Warrior;Human;Female;2;;;02 Jul '26;02 Jul '26;Imp: 02 Jul '26;;Vivi;Joined: 02 Jul '26 ;;Alliance
Anteg;Altling;60;Paladin;Human;Male;4;Alt;Anaire-WildGrowth,Loashi-WildGrowth(main),Plotka-WildGrowth;19 Dec '25;19 Dec '25;Altling: 19 Dec '25,Imp: 19 Dec '25;;Loashi [Herb]/[Mine]300;Joined: 19 Dec '25;;Alliance
Antheaume;Imp;37;Paladin;Human;Male;37;;;23 Feb '26;23 Feb '26;Imp: 23 Feb '26;;main [Ench]149/[Herb]147;Joined: 23 Feb '26 ;;Alliance
Anure;Fel Reaver;60;Paladin;Human;Male;0.54;Main;Leevancleave-WildGrowth,Shadowgasp-WildGrowth;29 Dec '25;08 Mar '26;Fel Reaver: 08 Mar '26,Imp: 29 Dec '25;;main [Herb]104/[Mine]300;Joined: 29 Dec '25;;Alliance
Anusje;Imp;46;Warlock;Gnome;Female;25;Main;;25 Jun '26;25 Jun '26;Imp: 25 Jun '26;;;Joined: 25 Jun '26 ;;Alliance
Anysoo;Imp;1;Druid;Night Elf;Female;6;;;05 Mar '26;05 Mar '26;Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Aominê;Imp;60;Paladin;Human;Male;14;;;30 Jun '26;30 Jun '26;Imp: 30 Jun '26;; [Mine]/[Ench]300;Joined: 30 Jun '26;;Alliance
Apollousa;Void Lord (Don);60;Hunter;Night Elf;Female;0.46;Main;Bellerophon-WildGrowth,Cahir-WildGrowth,Hastalavista-WildGrowth,Illmindofapo-WildGrowth,Incorporeal-WildGrowth,Monotone-WildGrowth,Papagandhi-WildGrowth,Ratatat-WildGrowth;22 Nov '25;22 Nov '25;Void Lord (Don): 22 Nov '25;;Apollon Musk [Skin]/[Eng]300;Joined: 22 Nov '25;;Alliance
